text,label
"这门课 workload 爆炸，每周都有 deadline，作业量巨大无比，考试难度天花板，不建议同时上其他硬课。",1
"噩梦般的课程，需要投入所有时间和精力，project 极其复杂，挂科率超高，慎选！",1
"教授要求严苛，任务繁重到令人窒息，每周需要阅读上百页文献，是我上过最累的课。",1
"学习压力巨大，课程内容深奥难懂，实验报告要求极高，几乎没有个人时间。",1
"不建议心脏不好的人选这门课， workload 绝对是全校顶级，需要极强的心理承受能力。",1
"课程负担非常重，每周都要熬夜，小组项目难度大，需要投入大量时间才能跟上。",2
"作业量大且难，考试不容易，需要平时持续学习，不能临时抱佛脚，整体压力较大。",2
"任务比较多，有定期测验和项目，需要认真对待，不算轻松但努力一下能跟上。",2
"课程有一定难度，作业和实验占据较多课余时间，需要合理安排时间应对。",2
" workload 适中偏上，有挑战性但不至于无法完成，需要保持一定的学习节奏。",3
"任务量中等，有常规作业和一次大项目，考试难度一般，平时听听课就能应付。",3
"不好不坏， workload 算是一般水平，只要按时完成作业，通过考试没什么问题。",3
"课程难度适中，有一定量的作业和阅读任务，但只要跟上课业进度，压力可控。",3
"标准的大学课程， workload 不多不少，属于平均水平，需要花些时间但不会太累。",3
"任务量不算大，课程内容比较有趣，作业量适中，整体感觉比较均衡。",3
"课程相对轻松，作业量不大，考试内容都在课件里，稍微复习一下就能考得不错。",4
"压力较小，老师很nice，任务要求明确，只要按要求完成，拿个好分数不难。",4
" workload 较轻，只有几次作业和一个简单项目，有很多自由支配的时间。",4
"课程安排合理，任务不多，难度不高，算是比较惬意的一门课。",4
"著名的水课，老师不点名，没有作业，期末开卷考，随便学学就能过。",5
"堪称福利课，无比轻松，每节课去看看视频就行，毫无压力，推荐混学分。",5
"特别轻松，一学期就两次作业，考试全是选择题，老师给分超高。",5
"没什么负担，课程内容简单，考前看看PPT就能过，几乎不需要课外时间。",5
"超级放松的课程， workload 几乎为零，对 GPA 很友好，是完美的选修课。",5
